stage_pos,mode_q,pol,pole_real_n,pole_real_s,pole_imag_n,pole_imag_s,residue_real_n,residue_real_s,residue_imag_n,residue_imag_s
-3.0,34,y,-779.4853844616769,5968.554136419877,714492805952.2917,5968.554268765863,0.7447284062361763,0.25135478924433424,-0.760385382651012,0.25135481676145327
-2.25,20,x,-9583.505081978801,1368.84717739597,424699445289.2335,1292.68307117395,0.08351548964205706,0.06470552974109896,-0.5870321592548604,0.07138591827351248
-2.25,20,y,-5058.21883080143,610.3387434707522,424703411409.43463,610.975800935021,-0.02207485890968411,0.04252170541019985,-0.4586200512311548,0.042682122750125166
-2.25,21,x,-3769.4180852719473,64.38620952198835,445399867444.1737,64.38488655062028,0.33299187323124213,0.004886003445149648,0.12701011866013773,0.004885885749634031
-2.25,21,y,-3268.9171420386765,205.76028033190832,445403648273.3836,205.76027966492026,0.06842455984486805,0.00539792135993665,-0.09593211689692413,0.00539792144512282
-2.25,22,x,-2637.680276271701,14.068566063844294,466100035361.1235,14.068581581497947,0.6483355291167353,0.0026849050531662783,0.07665110345425043,0.0026849079742878516
-2.25,22,y,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-2.25,23,x,-2325.7978033345116,47.831455607297734,486799982040.049,47.83140476419585,-0.04539353738285941,0.004251080125493611,-0.2670394989910104,0.004251089254005442
-2.25,23,y,-2360.987394098714,109.72281463224495,486803437249.2619,111.69356502003816,0.018618497915568164,0.003762464019079383,-0.10456847167445918,0.003627126754812622
-2.25,24,x,-2391.184429858405,42.09853786911505,507499734685.04297,42.098646661269086,-0.10746543604887623,0.0017542858324268845,-0.06912122908250372,0.0017542984063929133
-2.25,24,y,-2389.4398137136377,52.97994106252656,507503047691.41003,52.98010018273717,-0.10155864628435239,0.001857355811983719,-0.04104619029205116,0.0018573706405177691
-2.25,25,x,-1652.7392075221599,37.9083433546505,528199316883.5451,37.90834323601049,-0.04045213112068305,0.0015271949234990413,0.08202585524690598,0.0015271949295757236
-2.25,25,y,-2061.3492888228493,122.65924510239695,528202498522.6998,120.7580038241725,-0.028393438868558815,0.00213612011718987,0.040502235291314595,0.0021746592384483555
-2.25,26,x,-3929.6434590705253,279.1502787926669,548898748507.3228,277.663082590473,-0.05788349405955025,0.005233288498606132,0.08206973208394062,0.005493498280722686
-2.25,26,y,-5105.622792102722,261.1661509056795,548901808753.1235,261.1661021950877,-0.051511046558827316,0.0051290006583587415,0.10849376695189371,0.005128995938039133
-2.25,27,x,-1.00077887768747,18.172218517662955,569598026116.0593,18.172218553725916,0.001351813178774876,0.0005685971901837185,0.0014034977750076588,0.0005685971815284535
-2.25,27,y,-6.2559717892964475,3208.681143679549,569601062367.7781,3208.6812820460655,-0.06624728196403397,0.08010311943296586,-0.21254960926365013,0.0801031264627569
-2.25,28,x,-4160.8092443438845,257.98474129466405,590297223732.2288,254.03987547121017,0.07595034139111985,0.003690489276129016,0.007448110768331503,0.0035414122973856177
-2.25,28,y,-24.435969701637195,777.4267050576802,590299821980.1213,777.4301778137906,-0.0006065927713661491,0.0035459093394820565,0.0013433893454368477,0.0035459126720517272
-2.25,29,x,-21332.5753303384,50304.93791592529,610996702013.0037,50304.97344990263,8.534315885095875,28.515578901769363,70.041722827826,28.515612453564657
-2.25,29,y,-585.4218089356186,22801.45074433321,610999215459.8574,22801.536470531588,0.15089549607379799,0.3094895348258449,0.35855411797559017,0.30949802831458595
-2.25,30,x,-3120.9794159739286,139375.51730131297,631695480560.6172,291869.0012209216,-9.62856285253727,32.34502869962754,-30.005704771766236,209.65696660281654
-2.25,30,y,-55.03940944824677,27880.60647561625,631697834626.0192,27880.594802177915,-0.17457738814870952,0.7946153557259431,-0.675533126159705,0.7946165195785319
-2.25,31,x,-787.3052950973,16305.026361847576,652394071107.1669,16305.02488665071,-2.2452288742171493,1.7717643220609633,-1.8111289126304466,1.7717674352942012
-2.25,31,y,-139.43060324100412,6812.3634842269485,652396664519.0516,6812.395291070926,0.37991793429332216,0.47535615318522684,1.1184074607299404,0.47536012822882207
-2.25,32,x,-4714.822153750051,757.7849044660064,673092949315.6407,757.7849024102475,-0.14185957355496023,0.01941489261838038,0.05030076549464569,0.019414892743863883
-2.25,32,y,-8639.206618121974,15073.77161961103,673095302570.6942,15073.770710549798,16.741170148876655,6.348283032591947,-22.24690502230329,6.348284796294173
-2.25,33,x,-461.6858365243765,174.69661934720412,693791723822.432,174.69661750445454,-0.012073073990691595,0.003365519780534923,-0.0022770527128602018,0.003365519647322607
-2.25,33,y,-7490.5092480392705,1361.2366529441272,693794144670.7721,1258.096139663918,0.097303465107918,0.01839718516910763,0.009171083703414738,0.016725172754574635
-2.25,34,x,-1551.958216515632,8909.061153984288,714490316293.5908,12960.68248750606,-0.7204883337884475,0.3449598318878167,-0.8191016993134294,1.110306570998652
-2.25,34,y,-508.5809786537853,49708.53589728694,714492637716.5558,66060.1653068971,-1.2435103216607228,1.4203590122132348,-1.578082106574447,7.176023054204448
-1.5,20,x,-10600.459971900855,1114.8702705096962,424699444707.1493,1157.9712873821902,-0.6764531872583903,0.06535267023039804,0.3343490663552997,0.07653720991279198
-1.5,20,y,-33753.50007471147,11366.614830301194,424703407413.2368,14753.973382428656,-0.34913824472952276,0.3532492164008142,-0.5203718879296416,0.29354206006365424
-1.5,21,x,-5399.724959309769,106.80054535224387,445399869260.71234,106.80036529811548,0.4228706837872706,0.007151682441554788,0.05633443762924701,0.007151650626013768
-1.5,21,y,-7915.742878452605,233.70855325899092,445403651161.8148,216.1103509743919,0.2823768435392536,0.01590619461434271,0.47447582312630643,0.014608409852951273
-1.5,22,x,-4002.645003172767,32.533829284672585,466100037244.2392,31.960725582833813,-1.437229518971216,0.010399451746367937,0.9551712616744971,0.010594241065320585
